,title,rating,date,categorie,comments,sentiment,aspect_opinion
11,🔥 Mini shoulder bag (M-688),5,2019-08-19,Bag,🌹🌹🌹🌹🌹🌹🌹 🍸🌹🌹🌹🌹🌹🍸 🍸🍸🌹🌹🌹🍸🍸 🍸🍸🍸🌹🍸🍸🍸 🍸🍸🍸🌹🍸🍸🍸 🍸 🍸🌹🌹🍸🌹🌹🍸 🌹🌹🌹🌹🌹🌹🌹 🍸🌹🌹🌹🌹🌹🍸 🍸🍸🌹🌹🌹🍸🍸 🍸🍸🍸🌹🍸🍸🍸 🍸🍸 🍸🎁😊❤☺🎁🍸 🍸🌹🌹🍸🌹🌹🍸 🌹🌹🌹🌹🌹🌹🌹 🌹🌹🌹🌹🌹🌹🌹 🍸🌹🌹🌹🌹🌹🍸 🍸🍸,Neutral,
12,🔥 Mini shoulder bag (M-688),5,2019-08-14,Bag,"55555 Cute little leaves. Should be able to wear new cosmetics, mobile phones Buy for daughter How much is 8 baht, free delivery fee, if worth it? Too bad to order pink, think that the daughter will like the gray color around her face.",Positive,leaves: Cute little; phones: new mobile; fee: worth; fee: much; fee: baht free; color: gray
13,🔥 Mini shoulder bag (M-688),4,2019-08-03,Bag,"Product quality is almost good. But the leaves are a little small If compared to green, the wallet that is put in the black leaf again can be seen that the bag size is quite small. But if compared with the price, it can be accepted Suitable for use with children",Positive,quality: good; leaves: small; product: little; size: small
14,🔥 Mini shoulder bag (M-688),5,2019-07-18,Bag,"The product size is the same as the palm, but can be purchased at a price of 10 baht. Haven't tried using it, how long? But overall okay",Positive,size: same; product: overall
15,🔥 Mini shoulder bag (M-688),5,2019-08-16,Bag,"😚🎉 ♥ ️ Cute value bag Ordered brown to get black Delivery is a bit slow About a week But worth it for the price of just 8 baht ♥ ️ tell me, the quality of the leather bag is good",Positive,bag: Cute; product: brown; product: worth; quality: good
16,🔥 Mini shoulder bag (M-688),4,2019-08-17,Bag,"The product is not fully contactable. Not informed before delivery. Very slow. All beautiful bags. But helping to take responsibility for missing goods, not quietly disappearing.",Positive,product: not contactable; product: slow; bags: beautiful; goods: not
17,🔥 Mini shoulder bag (M-688),5,2019-06-23,Bag,"Cute, cute",Positive,product: Cute; product: cute
18,🔥 Mini shoulder bag (M-688),3,2019-08-17,Bag,"The product is not fully contactable. Not informed before delivery. Very slow. All beautiful bags. But helping to take responsibility for missing goods, not quietly disappearing.",Positive,product: not contactable; product: slow; bags: beautiful; goods: not
19,🔥 Mini shoulder bag (M-688),4,2019-08-15,Bag,Received the product Pretty cute But would like to deduct 1 star because I sent the wrong color,Positive,color: wrong
20,🔥 Mini shoulder bag (M-688),4,2019-07-26,Bag,"Compact, suitable for wearing phones Not carrying a lot of bags, broken 1 star",Negative,
21,🔥 Mini shoulder bag (M-688),3,2019-07-05,Bag,This quality cell product is medium in quality. The price is not too bad to be in the shape that is not beautiful.,Negative,product: medium; price: not bad
22,🔥 Mini shoulder bag (M-688),5,2019-07-04,Bag,The product is very good. I am still to use it but I'm very impressed with the packaging and delivery time. It arrived early and I will recommend the product. It is a good product and I hope it does it all. I recommend.,Positive,product: good; product: impressed
23,🔥 Mini shoulder bag (M-688),5,2019-04-27,Bag,"Good product, cheap price, to subsidize again. Good product, cheap price, to subsidize again. Good product, cheap price to subsidize again. Good product, cheap price to subsidize again. Good product, cheap price to subsidize again. Good product, cheap price, to subsidize again. Good product, cheap price, to subsidize again. Good product, cheap price to subsidize again. Good product, cheap price to subsidize again. Good product, cheap price to subsidize. None of it was a good product to subsidize another good product at a good price.",Positive,price: cheap; price: cheap; price: cheap; price: cheap; price: cheap; price: cheap; price: cheap; price: cheap; price: cheap; price: cheap; product: good
24,🔥 Mini shoulder bag (M-688),1,2019-08-13,Bag,"It's cute. But cut off the dam, not ok Almost every thread dropped Do not wear heavy stuff. It's a shame. Beautiful but not resistant. Definitely sewing like this.",Negative,cute: Its; stuff: heavy; shame: Its; product: Beautiful; product: resistant
25,🔥 Mini shoulder bag (M-688),4,2019-04-06,Bag,"Fair product quality Good value with the price Very fast delivery Ordered a lot of things, there was no mistake.",Positive,product: Fair; value: Good
26,🔥 Mini shoulder bag (M-688),5,2019-04-03,Bag,It's pretty cute. {~ {~ {~ {{{{{{{{{{{[{ {{β {β {β} β {} {{{} {}}} ~} {~} ^} ~} ~} ~} ~ } ~ <~} ~} ~ {~} ^ {~} <~ ^ <<{^ <~ β>} ^> • ^> ^ <• ^> • ^ ~> • ^ •> ^> • > • ^> • ^ •> ^ `& ^ •> ^> • ^> • ^ •> ^ •> ^> • ^> • ^ •> ^> ^ ®>` ®> `^> ^> • ^ > • ^^> •> `^` &,Positive,product: Its; product: cute
27,🔥 Mini shoulder bag (M-688),4,2019-06-28,Bag,"The product meets the image ... How long does delivery last? Good service, fast delivery, overall like, worth the price. Find this price according to no market.",Positive,delivery: fast; product: worth
28,🔥 Mini shoulder bag (M-688),5,2019-04-10,Bag,This product is very good This product is very good This product is very good This product is very good This product is very good This product is very good This product is very good This product is very good This product is very good This product is very good This product is very good This product is very good Product This product is very good This product is very good This product is very good This product is very good This product is very good This product is very good This product is very good This product is very good Product,Positive,product: good; product: good; product: good; product: good; product: good; product: good; product: good; product: good; product: good; product: good; product: good; product: good; product: good; product: good; product: good; product: good; product: good; product: good
29,🔥 Mini shoulder bag (M-688),5,2019-06-28,Bag,"Beautiful, good value, good delivery, Dokke's package, beautiful, good value, good delivery, Dokke's delivery, beautiful, good value, good delivery, Dokke's delivery, beautiful, good value, good delivery. DDK's package is pretty good, good value, good delivery, good deal of DDK, good, good value, good package delivery, DDK's, beautiful, good value. Worth it",Positive,delivery: good; delivery: good; delivery: good; delivery: good; value: good; package: good; delivery: good; product: Worth
30,🔥 Mini shoulder bag (M-688),5,2019-07-25,Bag,"Get the full product waiting for a very long time, every good product has a complete product Waiting for the product is not very long, every good product can get a complete product. Waiting for the product is not very long, every good product can get a complete product. Waiting for the product is not very long, every good product can get a complete product. Waiting for the product is not very long, every good product can get a complete product. Waiting for the product is not very long, every good product can get a complete product.",Positive,product: full; product: good; product: complete; product: good; product: complete; product: long; product: good; product: complete; product: long; product: good; product: complete; product: long; product: good; product: complete; product: long; product: good; product: complete
31,🔥 Mini shoulder bag (M-688),5,2019-08-07,Bag,"Get the full product waiting for a very long time, every good product has a complete product Waiting for the product is not very long, every good product can get a complete product. Waiting for the product is not very long, every good product can get a complete product. Waiting for the product is not very long, every good product can get a complete product. Waiting for the product is not very long, every good product can get a complete product. Waiting for the product is not very long, every good product can get a complete product.",Positive,product: full; product: good; product: complete; product: good; product: complete; product: long; product: good; product: complete; product: long; product: good; product: complete; product: long; product: good; product: complete; product: long; product: good; product: complete
32,🔥 Mini shoulder bag (M-688),5,2019-08-07,Bag,"Good product with good product quality, good product quality, good product quality, good product quality, good product quality, good product quality, good product quality, good product quality, good product quality, good product quality, good product quality, product quality Good quality, good product quality, good product quality, good product quality, good product quality, good product quality, good product quality",Positive,product: Good; product: good; product: good; product: good; product: good; product: good; product: good; product: good; product: good; product: good; product: good; product: good; product: good
33,🔥 Mini shoulder bag (M-688),5,2019-08-19,Bag,"Very very, very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very Very very, very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very Very much",Neutral,
34,🔥 Mini shoulder bag (M-688),5,2019-08-15,Bag,"Well, good. Good. Good value. Good. Beautiful. Good. Good value. Good, beautiful, good. Good value. Good value. Beautiful. Good. Good value.",Positive,product: good; product: Good; value: Good; product: Good; product: Beautiful; product: Good; value: Good; product: Good; product: beautiful; product: good; value: Good; value: Good; product: Beautiful; product: Good; value: Good
35,🔥 Mini shoulder bag (M-688),5,2019-06-28,Bag,Very cheap 4 baht total. Send wow wow wow 🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰 🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰 🥰 🥰🥰🥰🥰🥰🥰 🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰 🥰🥰🥰🥰🥰🥰🥰🥰🥰 🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰,Positive,product: cheap; total: baht
36,🔥 Mini shoulder bag (M-688),5,2019-07-22,Bag,😎😎 😎😎 😎😎 😎😎 😎😎😎😎😎😎 😘😘😘😘 😙😙 😙😙 😙😙 😙😙 😚😚 😚😚😚😚😚 😚😚😚😚😚 😚😚 😚😚😚😚😚😚😚😚😚😚😚😚💖💖 💖💖💖💖,Neutral,
37,🔥 Mini shoulder bag (M-688),5,2019-08-13,Bag,😎😎 😎😎 😎😎 😎😎 😎😎😎😎😎😎 😘😘😘😘 😙😙 😙😙 😙😙 😙😙 😚😚 😚😚😚😚😚 😚😚😚😚😚 😚😚 😚😚😚😚😚😚😚😚😚😚😚😚💖💖 💖💖💖💖,Neutral,
38,🔥 Mini shoulder bag (M-688),5,2019-05-07,Bag,Very good quality. Very good quality. Very good quality. Very good quality. Very good quality. Very good quality. Very good quality. Very good quality. Very good quality. Very good quality. Very good quality. Very good quality. Very good quality. Very good quality. Very good quality. Very good quality.,Positive,quality: good; quality: good; quality: good; quality: good; quality: good; quality: good; quality: good; quality: good; quality: good; quality: good; quality: good; quality: good; quality: good; quality: good; quality: good; quality: good
39,🔥 Mini shoulder bag (M-688),5,2019-06-29,Bag,"Okokokokokok ok ok ok ok ok o kok ok
Okokokokokok ok ok ok ok ok o kok ok
Okokokokokok ok ok ok ok ok o kok ok
Okokokokokok ok ok ok ok ok o kok ok
Okokokokokok ok ok ok ok ok o kok ok
Okokokokokok ok ok ok ok ok o kok ok
Okokokokokok ok ok ok ok ok o kok ok
Okokokokokok ok ok ok ok ok o kok ok",Positive,
40,🔥 Mini shoulder bag (M-688),5,2019-08-15,Bag,It&#39;s pretty according to the price. Okay product. Good. Beautiful according to the price Okay product. Good. Beautiful according to the price Okay product. Good. Beautiful according to the price Okay product. Good. Beautiful according to the price Okay product. Good. Beautiful according to the price Okay product. Good. Beautiful according to the price Okay product. Good. Beautiful according to the price Okay product. Good. Beautiful according to the price Product ok,Positive,product: Okay; product: Good; product: Beautiful; product: Good; product: Beautiful; product: Good; product: Beautiful; product: Good; product: Beautiful; product: Good; product: Beautiful; product: Good; product: Beautiful; product: Good; product: Beautiful; product: Good; product: Beautiful
41,🔥 Mini shoulder bag (M-688),5,2019-05-11,Bag,Very good quality. Very good quality. Very good quality. Very good quality. Very good quality. Very good quality. Very good quality. Very good quality. Very good quality. Very good quality. Very good quality. Very good quality. Very good quality. Very good quality. Very good quality. Very good quality.,Positive,quality: good; quality: good; quality: good; quality: good; quality: good; quality: good; quality: good; quality: good; quality: good; quality: good; quality: good; quality: good; quality: good; quality: good; quality: good; quality: good
42,🔥 Mini shoulder bag (M-688),5,2019-08-08,Bag,"Beautiful, worth it. Reed Reed Reed Reed Reed Reed Reed Reed Reed Reed Reed Reed Reed Reed Reed Reed",Positive,product: Beautiful; product: worth
43,🔥 Mini shoulder bag (M-688),5,2019-06-06,Bag,"Beautiful. The product is correct. Good. Send me a message. Beautiful. The product is good. Send me a beautiful, correct product. Send in. Beautiful. Good product. Send in. Beautiful. Good product. Send me a beautiful, correct product. Good to send.",Positive,product: Beautiful; product: correct; product: Good; product: Beautiful; product: good; product: beautiful correct; product: Beautiful; product: Good; product: Beautiful; product: Good; product: beautiful correct; product: Good
44,🔥 Mini shoulder bag (M-688),4,2019-07-16,Bag,"Not complete delivery Stores refund 2 baht. ดี Good product quality. 💕 Good value, fast delivery, good quality 🌈 🌈 Good product quality 💕 Good value Fast delivery. 🌈 🌈 Good product quality. 💕 Good value Fast delivery. 🌈 🌈 Good product quality. 💕 Good value Fast delivery. 🌈 🌈 Good product quality. 💕 Good value The speed of delivery is good.",Positive,Stores: complete; refund: complete; product: baht; product: Good; quality: good; product: Good; value: Good; delivery: Fast; quality: Good; value: Good; delivery: Fast; quality: Good; value: Good; delivery: Fast; quality: Good; value: Good; speed: good
45,🔥 Mini shoulder bag (M-688),1,2019-08-22,Bag,Not able to complete the order but the apology is not responsible.,Negative,product: able; apology: not responsible
46,🔥 Mini shoulder bag (M-688),5,2019-05-21,Bag,"The product is good, but the delivery is very slow. This shop is calling to talk to the end of the sentence. The product is good, but the delivery is very slow. This shop is calling to talk. Calling to talk still doesn't finish the sentence. The product is good, but the delivery is very slow. This shop is calling to talk.",Positive,product: good; delivery: slow; product: good; delivery: slow; product: good; delivery: slow
47,🔥 Mini shoulder bag (M-688),3,2019-06-04,Bag,"Bag arrived late And smaller than that But by combining good, good price The goods are well packaged, no broken marks.",Positive,price: good good; marks: broken
48,🔥 Mini shoulder bag (M-688),5,2019-07-13,Bag,"Fast delivery of goods Get the goods as ordered, the price is very worth Very beautiful, very like, very worth The purse has a lot of money. Very good. Very liked. Leather bag has a little smell. Used, the smell will disappear.",Positive,delivery: Fast; price: worth worth; product: beautiful; product: good; product: liked; smell: little
49,🔥 Mini shoulder bag (M-688),5,2019-08-15,Bag,"Very good quality, beautiful color, good service .. มาก Very good quality, beautiful color, good service .. มาก Very good quality, service color, very good quality, beautiful color, good service .. มาก Very good quality, beautiful color, good service .. มาก Very good quality. Good .. 😇..😇 very good quality, beautiful color, good service .. มาก very good quality, beautiful color, good service .. มาก very good quality, good service color .. 😇😂",Positive,service: good beautiful good; service: beautiful good; color: good; service: beautiful good; service: beautiful good; quality: good; product: Good; service: good beautiful good; service: good beautiful good; service: good; color: good
50,🔥 Mini shoulder bag (M-688),4,2019-08-22,Bag,Very good value Very fast delivery. The service provided by the shipping company is very good. Very good value Very fast delivery. The service provided by the shipping company is very good. Very good value Very fast delivery. The service provided by the shipping company is very good. Very good value Very fast delivery. The service provided by the shipping company is very good.,Positive,delivery: fast; service: good; delivery: fast; service: good; delivery: fast; service: good; delivery: fast; service: good
51,🔥 Mini shoulder bag (M-688),5,2019-08-06,Bag,"Beautiful Get the color as ordered Fast delivery. Beautiful, pleasant. Get the color as ordered Fast delivery. Beautiful, pleasant. Get the color as ordered Fast delivery. Beautiful, pleasant. Get the color as ordered Fast delivery",Positive,pleasant: Beautiful; pleasant: Beautiful; pleasant: Beautiful
52,🔥 Mini shoulder bag (M-688),5,2019-01-29,Bag,"The product is pretty okay, the price is cheap. Dee must tell me. Waiting for delivery of goods, suitable for people who do not hurry. The product is pretty okay, the price is cheap. Dee must tell me. Waiting for delivery of goods, suitable for people who do not hurry. The product is pretty okay, the price is cheap. Dee must tell me. Waiting for delivery of goods, suitable for people who do not hurry. The product is pretty okay, the price is cheap. Dee must tell me. Delivery waiting for",Positive,product: okay; price: cheap; who: not; product: okay; price: cheap; who: not; product: okay; price: cheap; who: not; product: okay; price: cheap
53,🔥 Mini shoulder bag (M-688),5,2019-08-07,Bag,Worth more than worth in the promotion price range Very desirable.... Very desirable.... Very desirable.... Very desirable.... Thank you very much... Ka ^^ Thank you very much ....,Positive,product: Worth; product: more; product: desirable; product: desirable; product: desirable; product: desirable
54,🔥 Mini shoulder bag (M-688),5,2019-05-27,Bag,"Well, let's talk about each other. Let's talk about each other. Let's talk about each other. Let's go. Let's go. Let's go. Let's go. Well, let's talk about each other. Let's talk about each other. Let's talk about each other. Let's go. Let's go. Let's go. Let's go.",Positive,
55,🔥 Mini shoulder bag (M-688),4,2019-05-13,Bag,"Oke, any other, any other, any other, any other other other other other other other other other other other related other options. Any other, any other, any other, any other, any other, and any other, any other, any other, any other, or other Any other, any other, any other, any other, any other, and any other, any other, any other, any other, or other Any other, any other, any other, any other, any other, and any other, any other, any other, any other, or other Any other, any other, any other, any other, any other, and any other, any other, any other, any other, or other Any other, any other, any other, any other, and any other, any other, any other other other other other other other other related options",Neutral,product: other; product: other; options: other other other other other other other other other other other other related other; product: other; product: other; product: other; product: other; product: other; product: other; product: other; product: other; product: other; product: other; product: other; product: other; product: other; product: other; product: other; product: other; product: other; product: other; product: other; product: other; product: other; product: other; product: other; product: other; product: other; product: other; product: other; product: other; product: other; product: other; product: other; product: other; product: other; product: other; product: other; product: other; product: other; product: other; product: other; product: other; product: other; product: other; product: other; product: other; product: other; options: other other other other other other other other other related
56,🔥 Mini shoulder bag (M-688),5,2019-06-04,Bag,"Good, beautiful, like, any other, any other, very nice Nice, beautiful, like, any other, any other, very nice Anyway, good, beautiful, like any other Vinfngjznbbxksfhfcvyyivbv zn vbb vinfngjznbbxksfhfcvyyivbv zn vbb vinfngjznbbxksfhfcvyyivbv zn vbb vinfngjznbbxksfhfcvyyivbv",Positive,product: Good; product: beautiful; product: other; product: nice; product: beautiful; product: other; product: nice; product: good; product: beautiful
57,🔥 Mini shoulder bag (M-688),4,2019-07-06,Bag,You overpriced Fast delivery You overpriced Fast delivery You overpriced Fast delivery You overpriced Fast delivery You overpriced Fast delivery You overpriced Fast delivery You overpriced Fast delivery You overpriced Fast delivery,Neutral,delivery: Fast; delivery: Fast; delivery: Fast; delivery: Fast; delivery: Fast; delivery: Fast; delivery: Fast; delivery: Fast
58,🔥 Mini shoulder bag (M-688),5,2019-07-21,Bag,"Beautiful bag, fast delivery, beautiful bag, fast delivery, beautiful bag, fast delivery, beautiful bag, fast delivery, beautiful bag, fast delivery, beautiful bag, fast delivery, beautiful bag, fast delivery",Positive,delivery: fast
59,🔥 Mini shoulder bag (M-688),5,2019-06-24,Bag,"Update work with ❌ Do not accept oral reservations ❌ ❌ Appointment, appointment, date, time, location must be clear and responsible. ❌ Book no more than 3 days If it is long, please transfer Not sold out, sold out, dramas ม่า #Hot seller 55555 ❌ Request to transfer before noon every day Because the car comes to pick up the afternoon 2❌ ❌, pay cash, transfer money only, do not accept installments, do not take money, believe Lazy according to the amount of sales ❌ ถ",Negative,work: not; reservations: oral; location: clear; product: responsible; installments: not
60,🔥 Mini shoulder bag (M-688),5,2019-08-15,Bag,Worth more than worthwhile ... ... ... very like You ... ... ... very like Thank you ... I ... organized like this often You ... ... ... very like Thank you ... Please ... Organize this project frequently. 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,Positive,product: Worth; product: more
61,🔥 Mini shoulder bag (M-688),5,2019-07-24,Bag,Received the product already. Delivery is very fast. Send all items directly Product quality is ok. Value for money. I will continue to order again. The service of the shop is good. Thank you very much and will be subsidized again ....,Positive,Delivery: fast; quality: ok; service: good
62,🔥 Mini shoulder bag (M-688),5,2019-05-07,Bag,"Good product, good price, good price, good support, good product, cheap price, good price, good support, good product, cheap price, good price. The price is good. Please come to subsidize again.",Positive,product: good; price: good; price: good
63,🔥 Mini shoulder bag (M-688),5,2019-05-25,Bag,"Received the product Good value, according to the price. Quality according to price Beautiful, not ugly. Fast delivery available Very good value",Positive,value: Good; Quality: not; product: ugly; delivery: Fast; value: available good
64,🔥 Mini shoulder bag (M-688),5,2019-05-20,Bag,"Beautiful, cute, very like, sent a little slow, but beautiful, beautiful, love, very like, sent a little slow, but beautiful. Beautiful, beautiful, love, like, very much, send a little slow, but beautiful, beautiful, love, like, very, beautiful, love Beautiful, lovely, very fond, sent a little slow, but ok.",Positive,product: Beautiful; product: little; product: beautiful; love: slow beautiful; product: little; product: beautiful; love: Beautiful beautiful; product: little; product: beautiful; love: slow beautiful; product: Beautiful; product: lovely; product: little
65,🔥 Mini shoulder bag (M-688),5,2019-07-15,Bag,Stores have many products. The product is of very good quality. Fast delivery There is a product check before delivery as well. Receive the product as ordered. Products that are not shipped are notified to customers. And return the money to the system Have good integrity,Positive,products: many; delivery: Fast; integrity: good
66,🔥 Mini shoulder bag (M-688),5,2019-04-24,Bag,"Cheap, any other, any other ....... good quality ..... fast delivery Cheap, any other, any other ....... good quality ..... fast delivery Cheap, any other, any other ....... good quality ..... fast delivery ... Cheap, any other, any other ....... good quality ..... fast delivery ..",Positive,quality: Cheap other other good; delivery: fast; quality: Cheap other other good; delivery: fast; delivery: Cheap other other fast; delivery: Cheap other other fast
67,🔥 Mini shoulder bag (M-688),5,2019-07-22,Bag,"Very good quality Very good value The color has been correct as ordered. There is 1 wrong color. But overall, okay. Good transportation company. Receiving products quickly. Honest stores. Complete delivery. Good.",Positive,value: good; color: correct; transportation: Good; stores: Honest; delivery: Complete; product: Good
68,🔥 Mini shoulder bag (M-688),5,2019-08-14,Bag,"..╭╮╭╮ .. .∵╭═════════════════╮ 【╭ ◆ ┴┴ ◆ ╮． ★． ★． ★． ★. ★ 【│︵ Good ＜ .. Very Good 【╰╯ ╰╯ │． ╰═════════════════╯ 【╰ ○ ○ - ╯ ∵ .∵ Sent to the wrong color, but it's ok. Pretty good.",Positive,product: Good; product: Good; product: good
69,🔥 Mini shoulder bag (M-688),5,2019-08-15,Bag,"Good product, good value, good value, good product, good value, good value, good product price, good value, good price, good product, good value, good price, good product, good value, good price, good product, good value, good value",Positive,product: good; value: good
70,🔥 Mini shoulder bag (M-688),5,2019-08-16,Bag,"Perfect size bag, bright colors, good sewing, good zipper, strong, suitable for carrying. Convenient when traveling Fast transportation takes a long time. But prepare the product for a long time Compared to the price, worth the wait and the best.",Positive,size: Perfect; colors: bright; product: Convenient; transportation: Fast; time: long
71,🔥 Mini shoulder bag (M-688),5,2019-03-21,Bag,"Good product, cheap price, come to support again. Of course. Send fast. Order today. Send the next day. No need to chat to talk a lot. Yes To subsidize again",Positive,price: cheap
72,🔥 Mini shoulder bag (M-688),5,2019-03-21,Bag,"Good product, cheap price, come to support again. Of course. Send fast. Order today. Send the next day. No need to chat to talk a lot. Yes To subsidize again",Positive,price: cheap
73,🔥 Mini shoulder bag (M-688),5,2019-03-21,Bag,"Good product, cheap price, come to support again. Of course. Send fast. Order today. Send the next day. No need to chat to talk a lot. Yes To subsidize again",Positive,price: cheap
74,🔥 Mini shoulder bag (M-688),5,2019-07-20,Bag,"A cute seller, very worthwhile. Very worthwhile Very good value, very beautiful. Ordered many times. Use this shop all the time, so cute traders are worth it. Very worthwhile Very good value, very beautiful. Ordered many times. Use this shop all the time, so cute traders are worth it.",Positive,seller: cute; product: worthwhile; value: worthwhile good; product: beautiful; traders: worth; traders: cute; value: worthwhile good; product: beautiful; traders: worth; traders: cute
75,🔥 Mini shoulder bag (M-688),5,2019-07-24,Bag,"A cute seller, very worthwhile. Very worthwhile Very good value, very beautiful. Ordered many times. Use this shop all the time, so cute traders are worth it. Very worthwhile Very good value, very beautiful. Ordered many times. Use this shop all the time, so cute traders are worth it.",Positive,seller: cute; product: worthwhile; value: worthwhile good; product: beautiful; traders: worth; traders: cute; value: worthwhile good; product: beautiful; traders: worth; traders: cute
76,🔥 Mini shoulder bag (M-688),5,2019-06-28,Bag,"Well packaged The product has been of good quality, not damaged, but the leaves are smaller than that of ordinary pu leather straps, suitable for a good price.",Positive,leaves: smaller; leather: ordinary pu
77,🔥 Mini shoulder bag (M-688),4,2019-07-25,Bag,"Pretty cute, the price is not very fast. Pretty cute. Price is not very fast. Pretty cute. Price is not very fast. Pretty cute. Price is not very fast. Pretty cute. Price Not very fast. Pretty cute. Price is not very fast. Pretty cute. Price is not fast.",Positive,price: not fast; price: cute; product: cute; Price: not fast; product: cute; Price: not fast; product: cute; Price: not fast; product: cute; product: cute; Price: not fast; product: cute; Price: not fast
78,🔥 Mini shoulder bag (M-688),5,2019-08-05,Bag,Good product quality Good value Good delivery speed Good transportation service Worth it ...........,Positive,product: Good; value: Good; delivery: Good; transportation: Good
79,🔥 Mini shoulder bag (M-688),5,2019-07-23,Bag,"Number 4 takes longer to ship. But very cheap Buy multiple cards, the balance does not reach the minimum, free delivery. Full shipping cost of 80 baht is more expensive than the value of But ordered many pieces to average, then the price is still cheap",Positive,Number: longer; cards: not; cards: cheap multiple; balance: not; delivery: minimum free; cost: expensive; cost: Full; pieces: many; price: cheap
